name,id,section_id,parent_id,has_child
通貨,1,1,1,1
目的,2,2,2,1
資産,3,3,3,1
円,4,1,1,0
ドル,5,1,1,0
ユーロ,6,1,1,0
その他,7,1,1,1
ポンド,8,1,7,0
豪ドル,9,1,7,0
スイスフラン,10,1,7,0
カナダドル,11,1,7,0
元,12,1,7,0
仮想通貨,13,1,7,0
その他,14,1,7,0
投機,15,2,2,0
投資,16,2,2,0
現預金,17,3,3,0
株式,18,3,3,1
債権,19,3,3,1
オルタナ金融,20,3,3,1
オルタナ現物,21,3,3,1
投資信託,22,3,3,0
先進国株式,23,3,18,1
新興国株式,24,3,18,1
未上場株,25,3,18,0
日本株,26,3,23,0
米国株,27,3,23,0
ユーロ株,28,3,23,0
中国株,29,3,23,0
ASEAN株,30,3,24,0
アフリカ株,31,3,24,0
インド株,32,3,24,0
南米株,33,3,24,0
その他株,34,3,24,0
先進国国家債権,35,3,19,0
新興国国家債権,36,3,19,0
企業債権,37,3,19,0
未上場株,38,3,20,0
ヘッジファンド,39,3,20,0
その他,40,3,20,0
コモディティ,41,3,21,0
不動産,42,3,21,0
その他,43,3,21,0