name,value,account
テスト,11500円,テスト
Kyash残高,104863円,Kyash
Suica,2959円,モバイルSuica (モバイルSuica ID)
Suica,4240円,モバイルSuica (モバイルSuica ID)
LINE Pay（+ボーナス）,277円,LINE Pay
Zaif,891558円,なし
代表口座 - 円普通,5928285円,住信SBIネット銀行
普通預金,209847円,三菱UFJ銀行
普通預金,1375402円,三菱UFJ銀行
円預金(普通預金),146897894円,楽天銀行
外貨預金(普通預金),67489円,楽天銀行
米ドル,5133243円,楽天証券
現金残高,3562881円,SBI証券
預り金,5123500円,楽天証券
現金,35206円,WealthNavi（ウェルスナビ）
現金など,5996円,THEO［テオ］by お金のデザイン
現在のギフト券・Amazonチャージ残高,36841円,Amazon.co.jp
AI CROSS-新株,0円,SBI証券
コロプラ,162300円,楽天証券
gumi,295600円,楽天証券
メルカリ,252800円,楽天証券
日本ロジスティクスF,269200円,楽天証券
アマゾン・ドット・コム,557639円,楽天証券
フェイスブック,19276円,楽天証券
アルファベット クラスA,648105円,楽天証券
iシェアーズ 米国不動産 ETF,300373円,楽天証券
Techne社普通株式50株,500000円,なし
<購入・換金手数料なし>ニッセイ 外国株式インデックスファンド,963900円,楽天証券
eMAXIS Slim 先進国株式インデックス,1027688円,楽天証券
現金等,371011円,楽天証券
【楽ラップ専用】ステート・ストリート日本株式インデックス・オープン,2288273円,楽天証券
【楽ラップ専用】たわらノーロード 先進国株式<ラップ向け>,212363円,楽天証券
【楽ラップ専用】たわらノーロード 新興国株式<ラップ向け>,552230円,楽天証券
【楽ラップ専用】ステート・ストリート先進国株式インデックス・オープン,212692円,楽天証券
【楽ラップ専用】ステート・ストリート先進国株式インデックス・オープン(為替ヘッジあり),2717444円,楽天証券
【楽ラップ専用】ステート・ストリート新興国株式インデックス・オープン,236167円,楽天証券
【楽ラップ専用】ステート・ストリート日本債券インデックス・オープン,705463円,楽天証券
【楽ラップ専用】たわらノーロード 先進国債券<ラップ向け>,61127円,楽天証券
【楽ラップ専用】ステート・ストリート先進国債券インデックス・オープン,61647円,楽天証券
【楽ラップ専用】ステート・ストリート先進国債券インデックス・オープン(為替ヘッジあり),2568322円,楽天証券
【楽ラップ専用】ステート・ストリート新興国債券インデックス・オープン,495545円,楽天証券
【楽ラップ専用】ステート・ストリート米国社債インデックス・オープン(為替ヘッジあり),789939円,楽天証券
【楽ラップ専用】ステート・ストリート米国社債インデックス・オープン2,123966円,楽天証券
【楽ラップ専用】たわらノーロード 国内リート<ラップ向け>,632689円,楽天証券
【楽ラップ専用】たわらノーロード 先進国リート<ラップ向け>,248163円,楽天証券
米国株(VTI),4334210円,WealthNavi（ウェルスナビ）
日欧株(VEA),4140673円,WealthNavi（ウェルスナビ）
新興国株(VWO),1607587円,WealthNavi（ウェルスナビ）
米国債券(AGG),616443円,WealthNavi（ウェルスナビ）
金(GLD),1047251円,WealthNavi（ウェルスナビ）
不動産(IYR),616280円,WealthNavi（ウェルスナビ）
【グロース】EWJ 日本株,776329円,THEO［テオ］by お金のデザイン
【グロース】VGK ユーロ圏の大型株,752253円,THEO［テオ］by お金のデザイン
【グロース】VOE 米国の中型の割安株,736290円,THEO［テオ］by お金のデザイン
【グロース】VTV 米国の大型の割安株,694859円,THEO［テオ］by お金のデザイン
【グロース】EWW メキシコ株,289318円,THEO［テオ］by お金のデザイン
【グロース】EPI インドの株,269541円,THEO［テオ］by お金のデザイン
【グロース】EPP 日本を除くアジア太平洋地域の先進国の大型・中型株,254759円,THEO［テオ］by お金のデザイン
【グロース】VPL アジア太平洋地域の先進国の大型・中型株,42197円,THEO［テオ］by お金のデザイン
【グロース】FXI 中国の大型株,30120円,THEO［テオ］by お金のデザイン
【グロース】EWY 韓国の大型株・中型株,30005円,THEO［テオ］by お金のデザイン
【グロース】VWO 新興国全体の株式,25958円,THEO［テオ］by お金のデザイン
【グロース】VBR 米国の小型の割安株,13507円,THEO［テオ］by お金のデザイン
【グロース】EWT 台湾の大型株・中型株,11776円,THEO［テオ］by お金のデザイン
【グロース】EWG ドイツの大型・中型株,8482円,THEO［テオ］by お金のデザイン
【インカム】LQD 米ドル建ての投資適格の社債,452625円,THEO［テオ］by お金のデザイン
【インカム】MBB 米国政府機関が発行・保証した投資適格のモーゲージ・パススルー証券(住宅ローン担保証券),359261円,THEO［テオ］by お金のデザイン
【インカム】IEF 残存期間7-10年の米国債,267733円,THEO［テオ］by お金のデザイン
【インカム】IGSB 米ドル建ての残存期間1-3年の投資適格債,178371円,THEO［テオ］by お金のデザイン
【インカム】SJNK 米ドル建ての残存期間0-5年のハイイールド社債,177542円,THEO［テオ］by お金のデザイン
【インカム】IGOV 米国を除く先進国の国債,141317円,THEO［テオ］by お金のデザイン
【インカム】SRLN 米ドル建てのバンクローン(シニア・ローン、担保付債務),93294円,THEO［テオ］by お金のデザイン
【インカム】HYG 米ドル建てのハイイールド社債,83178円,THEO［テオ］by お金のデザイン
【インカム】TLT 残存期間20年超の米国債,46832円,THEO［テオ］by お金のデザイン
【インフレヘッジ】TIP 米国の物価連動国債,262839円,THEO［テオ］by お金のデザイン
【インフレヘッジ】IYR 米国のリート・不動産株,200152円,THEO［テオ］by お金のデザイン
【インフレヘッジ】IAU 金(現物),130973円,THEO［テオ］by お金のデザイン
【インフレヘッジ】DBC コモディティの先物,118692円,THEO［テオ］by お金のデザイン
【インフレヘッジ】IGF インフラ関連株,84183円,THEO［テオ］by お金のデザイン
【インフレヘッジ】SLV 銀(現物),43868円,THEO［テオ］by お金のデザイン
【インフレヘッジ】WOOD 林業関連株,18481円,THEO［テオ］by お金のデザイン
【インフレヘッジ】RWX 米国を除く世界各国のリート・不動産株,8514円,THEO［テオ］by お金のデザイン
R5841 ソフトバンクグループ 米ドル建永久劣後債,,
U7487 ウィーワーク 2025/5/1満期 米ドル建債券,,
Techne債権,49665492円,なし
Techne未払い給与,10000000円,なし
Techne未払い経費,6190016円,なし
Techne追加貸付,24000000円,なし
ポイント,39円,JCBカード
ポイント,42円,JCBカード
ポイント,57円,JCBカード
ポイント,132円,JCBカード
ポイント,243円,JCBカード
ポイント,144円,JCBカード
ポイント,210円,JCBカード
ポイント,189円,JCBカード
ポイント,924円,JCBカード
ポイント,2184円,JCBカード
リワードポイント,30961円,ダイナースクラブカード
リワードポイント,736円,ダイナースクラブカード
ポイント,20979円,ポケットカード
ポイント,20979円,ポケットカード
ANAマイレージ(マイル),50838円,ANAマイレージ
Tポイント,1200円,Tポイント(Yahoo ID)
Amazonポイント,5円,Amazon.co.jp
証拠金(FX),5002482円,楽天証券